,stop_id,stop_lat,stop_lon,stop_name,no_of_passengers_avg
251,2638,12.92005797,77.33011836,"Chikkamaskal,OPPOSITE OF GOVERNMENT SCHOOL",8
252,3042,13.12577865,77.47569289,"Bili Jaji,BILEJAJI,BESIDE RESIDENTIAL AREA",33
253,2914,13.00407619,77.51009584,"Karim Sab Layout,KAREEM SAB LAYOUT, SHRI GUNDANAGARA HEGGANAHALLI,BESIDE HDFC BANK ATM",30
254,3070,13.10385882,77.51664785,"Kalathammanahalli,KALATHAMANAHALLI,BESIDE ANGANAWADI KENDRA",9
255,3816,13.12351619,77.74411764,"Handrahalli,ITTHARAHALLI,IN FRONT OF AKKANDESHWARI TEMPLE",19
256,3281,13.03670737,77.48697182,"Thippenahalli,TIPPENAHALLI,BESIDE GOVT. HOSPITAL",27
257,5309,13.02291644,77.5330702,"Kanteerava Studio,GORAGUNTEPALYA,BESIDE PETROL BUNK",38
258,3690,13.15017193,77.56154412,"YADIYURAPPA NAGARA,IN FRONT OF NILAGIRI THOPU",41
259,3348,13.08167723,77.54818732,"MS Palya,MOHAMMAD SAB PALYA,BESIDE ARYA BAKERY & SWEETS",6
260,2134,12.90373039,77.47569666,"RWB Gate,KENGERI,OPPOSITE OF KSRTC REGIONAL WORK SHOP",12
261,682,12.97509192,77.6253721,"Halasur Police Station,HALASURU,OPPOSITE OF POLICE STATION",22
262,1589,12.99471335,77.57831689,"RMS,SESHADIPURAM,BESIDE KARTHIK ENTERPRISES",28
