,stop_id,stop_name
227,2274,"Bangalore Children Hospital,KANDASWAMY LAYOUT, RAJESHWARI NAGARA,OPPOSITE OF SRI VINAYAKA ENTERPRISES"
228,1684,HAL Market
229,605,"Maruthi Seva Nagara,MARUTHI SEVA NAGARA,IN FRONT OF MY HOME MEDICALS"
230,2584,"Mallathahalli Cross,MALLATHAHALLI,OPPOSITE OF BHAGAVAN BUDDA HOMEOPATHIC MEDICAL COLLEGE"
231,552,"Kada Bisanahalli,KADABEESANAHALLI,IN FRONT OF V.R.CHAMBERS"
232,2159,"Chikkanahalli,Petty shop"
233,476,Magadi Road Dasarahalli
234,3049,"Shastri Palya,K.G.SHASTRI PALYA,BESIDE RESIDENTIAL AREA"
235,3501,Kendriya Vihara Yelahanka
236,2901,"Soladevana Halli Police Station,SOLADEVANA HALLI,BESIDE PROVISION STORE"
237,3785,Mylanahalli
238,3753,"Yediyur,YEDIYURU,BESIDE OPEN AREA"
239,4654,"Bellandru ,BELLANDUR,IN FRONT OF GOVT MIDDLE SCHOOL & SHRI MALIGAMBA TEMPLE"
240,4612,"Nallurahalli,WHITEFIELD,BESIDE ASHWATHA KATTE(LEFT SIDE)"
241,1758,"Sulthan Palya,SULTHANPALYA, RT NAGARA,IN FRONT OF STATE BANK OF INDIA"
242,4953,Tuliph Resort
243,4851,ARAVINDA LIMITED
244,3987,ITC Factory
245,172,"Poornima Talkies,NEW MISSION ROAD,BESIDE JAYALAKSHMI BAKARY"
246,3171,"Mahadevapura,MAHADEVAPURA,IN FRONT OF MANJUNATAHA HOTEL"
247,2966,"Meenakshi Layout,MEENAKSHI LAYOUT,BESIDE RAJU WINES"
248,3410,"Gangadhara Kalyana Mantapa,KEREGUDDADAHALLI,BESIDE OPEN AREA"
249,4372,"Katta Nallur Gate,KATTANALLURU CROSS,IN FRONT OF NANDU BAKERY"
250,126,Spice Garden
251,1892,"New Gabadi,GABBADI,BESIDE BASAPPA TEMPLE"
252,1379,"Chamarajapete Ramamandira,CHAMARAJA PETE,IN FRONT OF AXIS BANK"
253,1554,"Malleshwaram 13th Cross,MALLESHWARAM,BESIDE SAARASWATHA CO-OPERATIVE BANK"
254,1664,Frazer Town
255,5260,"Nayandahalli Cross,PANTHARAPALYA,BESIDE KALYANI MOTORS"
256,822,Goragunte Palya
257,5296,Chinnappa Layout
258,4202,"Dunnasandra,IN FRONT OF GOVT. SCHOOL"
259,1469,"Malleshwaram Circle,KC GENERAL HOSPITAL,BESIDE MALLESHWARAM GROUND"
260,3620,"Chokkanahalli Cross,AREKERE SITE,BESIDE OPEN AREA"
261,2464,"Rampura,RAMPURA,IN FRONT OF WATER TANK"
262,4316,"A Narayanapura,DOORAVANI NAGARA,BESIDE SHREE VINAYAKA DHARSHINI"
263,2035,"VADDARAPALYA,VADDARAPALYA,IN FRONT OF S.B.PROPERTIES"
264,79,"Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SRI MANIKANTA SOUND SYSTEM"
265,3774,"Budigere,BUDIGERE CROSS,OPPOSITE OF HOTEL SURYA"
266,2030,"Avalahalli BDA Layout,VISHWESHWARAYA LAYOUT,IN FRONT OF SAAKAR PRINTING DESIGN & ENGINEERING"
267,1305,"Shettihalli,ANEKAL TALUK,IN FRONT OF MILK PRODUCT CO-OPERATIVE SOCIETY"
268,4318,Gayatri Layout
269,2688,Sigehalli Gate
270,524,Jayaram Das Factory
271,1243,"Muttanallur Cross,MUTHANALLURU,IN FRONT OF R.R.WINES"
